Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Indian Express, Yuvraj Singh retirement Neha Dhupia Anupam Kher and others thank cricketer,regional,2019-06-10,17:49:31,https://indianexpress.com/article/entertainment/bollywood/yuvraj-singh-international-cricket-retirement-bollywood-reactions-tweets-5773399/,3,0.04
Hindiustan Times, Prabhas ’ Saaho to release on August 15 books clash with Akshay Kumar and John Abraham,regional,2019-05-21,13:41:00,https://www.hindustantimes.com/regional-movies/prabhas-saaho-to-release-on-august-15-books-clash-with-akshay-kumar-and-john-abraham/story-i6w08L5Uu4rltonDWVLItJ.html,3,0.04
Hindiustan Times, Bollywood composers Shankar Ehsaan Loy opt out of Prabhas ’ Saaho,regional,2019-05-28,16:00:00,https://www.hindustantimes.com/regional-movies/bollywood-composers-shankar-ehsaan-loy-opt-out-of-prabhas-saaho/story-Fsg5rUiN3uZyWclCTq4T6M.html,3,0.05
Hindiustan Times, Santosh Sivan captures Rajinikanth in a candid moment with his grandson from Darbar sets see pics,regional,2019-06-09,15:33:00,https://www.hindustantimes.com/regional-movies/santosh-sivan-captures-rajinikanth-in-a-candid-moment-with-his-grandson-from-darbar-sets-see-pics/story-l8kKZVeylru8Cu0IJMXINI.html,3,0.05
Hindiustan Times, We underestimate the physical transformation of characters Amey Wagh,regional,2019-06-08,16:13:00,https://www.hindustantimes.com/regional-movies/we-underestimate-the-physical-transformation-of-characters-amey-wagh/story-TTkSTsG1wk8gaCd9Ztc1UO.html,3,0.05
Time of India, My favourite part of summer is mangoes Pratik Gandhi,regional,2019-06-02, 18:26:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/my-favourite-part-of-summer-is-mangoes-pratik-gandhi/articleshow/69621651.cms,3,0.04
Time of India, Pratik Gandhi enjoys his vacay to Nainital,regional,2019-06-07, 18:12:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/pratik-gandhi-enjoys-his-vacay-to-nainital/articleshow/69692047.cms,3,0.05
Hindiustan Times, Santosh Sivan captures Rajinikanth in a candid moment with his grandson from Darbar sets see pics,regional,2019-06-09,15:33:00,https://www.hindustantimes.com/regional-movies/santosh-sivan-captures-rajinikanth-in-a-candid-moment-with-his-grandson-from-darbar-sets-see-pics/story-l8kKZVeylru8Cu0IJMXINI.html,3,0.04
Time of India, Swanandi Berde dedicates her first tattoo to her Baba,regional,2019-06-09, 06:00:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/swanandi-berde-dedicates-her-first-tattoo-to-her-baba/articleshow/69705043.cms,3,0.03
Hindiustan Times, Rajinikanth to team up with director Siva Here ’ s the truth,regional,2019-05-29,15:32:00,https://www.hindustantimes.com/regional-movies/rajinikanth-to-team-up-with-director-siva-here-s-the-truth/story-fpGQZvATXvwsNRdgI6gWnN.html,3,0.04
Time of India, Chirag Patils fanboy moment in London,regional,2019-06-03, 13:49:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/chirag-patils-fanboy-moment-in-london/articleshow/69631551.cms,3,0.05
Time of India, Soham and Priyanka to reunite in ‘ Protighat ’,regional,2019-06-10, 11:19:00,https://timesofindia.indiatimes.com/entertainment/bengali/movies/news/soham-and-priyanka-to-reunite-in-protighat/articleshow/69721049.cms,3,0.03
Hindiustan Times, Mogra Phulala has been a beautiful journey Shrabani,regional,2019-05-29,19:02:00,https://www.hindustantimes.com/regional-movies/mogra-phulala-has-been-a-beautiful-journey-shrabani/story-Y2HBstaXlLGm32xded3e9L.html,3,0.05
Indian Express, Nick Jonas is missing Priyanka Chopra,regional,2019-06-09,16:02:06,https://indianexpress.com/article/entertainment/bollywood/nick-jonas-is-missing-priyanka-chopra-5771771/,3,0.04
Hindiustan Times, The support of the LGBTQIA community meant a lot Priya Bapat,regional,2019-06-03,19:27:00,https://www.hindustantimes.com/regional-movies/the-support-of-the-lgbtqia-community-meant-a-lot-priya-bapat/story-FA8kIqFJ7aXi04i0ghj8KO.html,3,0.04
Hindiustan Times, Rajinikanth Akshay Kumar ’ s 2 0 to release in China on July 12 retitled Robot 2 0 Resurgence,regional,2019-06-04,12:32:00,https://www.hindustantimes.com/regional-movies/rajinikanth-akshay-kumar-s-2-0-to-release-in-china-on-july-12-retitled-robot-2-0-resurgence/story-rS90yM0XdOyWGSqAo3ikwJ.html,3,0.05
Time of India, The trailer of Dev Kharoud ‘ DSP Dev ’ is packed with action,regional,2019-06-10, 16:28:00,https://timesofindia.indiatimes.com/entertainment/punjabi/movies/news/the-trailer-of-dev-kharoud-dsp-dev-is-packed-with-action/articleshow/69725349.cms,3,0.05
Time of India, A transgender hitman onscreen,regional,2019-06-10, 00:00:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/a-transgender-hitman-onscreen/articleshow/69714289.cms,3,0.04
Time of India, I will not quit cinema says Nikhil Kumar,regional,2019-06-09, 13:59:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/i-will-not-quit-cinema-says-nikhil-kumar/articleshow/69710957.cms,3,0.05
Time of India, Kinjal Rajpriya flaunts a cool pair of sunglasses,regional,2019-06-10, 16:33:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/kinjal-rajpriya-flaunts-a-cool-pair-of-sunglasses/articleshow/69725380.cms,3,0.04
Time of India, Rachita Ram takes on a massy role in Prems next,regional,2019-06-09, 00:00:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/rachita-ram-takes-on-a-massy-role-in-prems-next/articleshow/69702405.cms,3,0.07
Time of India, Music brings us together Jigardan Gadhavi,regional,2019-05-31, 17:22:00,https://timesofindia.indiatimes.com/entertainment/gujarati/music/music-brings-us-together-jigardan-gadhavi/articleshow/69598106.cms,3,0.03
Hindiustan Times, Actors become repetitive because they self direct Neena,regional,2019-05-24,17:21:00,https://www.hindustantimes.com/regional-movies/actors-become-repetitive-because-they-self-direct-neena/story-gnE7rzjSKQmYpAHJcXr2UJ.html,4,0.15
Indian Express, Amitabh Bachchan ’ s secretary Sheetal Jain dies at 77 actor remembers close aide,regional,2019-06-09,16:24:39,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-secretary-sheetal-jain-dies-at-77-actor-remembers-close-aide-5772095/,4,0.13
Time of India, In true sense Karnadji was a directors actor Jayant Gilatar,regional,2019-06-10, 17:55:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/in-true-sense-karnadji-was-a-directors-actor-jayant-gilatar/articleshow/69726618.cms,4,0.26
Hindiustan Times, Tamil actor writer Crazy Mohan dies of heart attack,regional,2019-06-10,15:06:00,https://www.hindustantimes.com/regional-movies/tamil-actor-writer-crazy-mohan-dies-of-heart-attack/story-0rgwjoMZUytclOFORHCvaL.html,4,0.16
India Today, Remembering Crazy Mohan 5 best films of iconic Tamil screenwriterPlaywright and screenwriter Crazy Mohan passed away in Chennai due to cardiac arrest The witty writer and actor is undoubtedly a trendsetter and his death has left a huge vacuum in Tamil cinema industry and theatre,regional,2019-06-11,00:56:00,https://www.indiatoday.in/movies/regional-cinema/story/remembering-crazy-mohan-5-best-films-of-iconic-tamil-screenwriter-1545950-2019-06-10,4,0.15
Time of India, The all smiles picture of Neeru Bajwa and Rubina Bajwa is giving sister goals,regional,2019-06-10, 17:54:00,https://timesofindia.indiatimes.com/entertainment/punjabi/movies/news/the-all-smiles-picture-of-neeru-bajwa-and-rubina-bajwa-is-giving-sister-goals/articleshow/69726870.cms,5,0.33
Time of India, Guess what Gurnam Bhullar to star alongside Neeru Bajwa in ‘ Kokka ’,regional,2019-06-07, 18:02:00,https://timesofindia.indiatimes.comhttps://timesofindia.indiatimes.com/entertainment/punjabi/movies/news/do-dooni-panj-to-shadaa-to-manje-bistre-2-punjabi-movies-to-look-forward-in-2019/guess-what-gurnam-bhullar-to-star-alongside-neeru-bajwa-in-kokka/photostory/69692409.cms,5,0.26
Time of India, Watch Poonam Dubey shares an adorable video with her mother on her birthday,regional,2019-06-06, 13:25:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/watch-poonam-dubey-shares-an-adorable-video-with-her-mother-on-her-birthday/articleshow/69673965.cms,5,0.22
Time of India, Esha Kansara and Malhar Thakar all are smiles for the camera,regional,2019-06-10, 18:00:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/esha-kansara-and-malhar-thakar-all-are-smiles-for-the-camera/articleshow/69726927.cms,5,0.27
Hindiustan Times, Devi 2 movie review This Prabhudeva starrer is a lousy sequel with no redeeming moments,regional,2019-05-31,17:05:00,https://www.hindustantimes.com/regional-movies/devi-2-movie-review-this-prabhudeva-tamannaah-bhatia-movie-is-a-lousy-sequel-with-no-redeeming-moments/story-Z8560BKbUIYU9Yljgcdo4J.html,6,0.34
Hindiustan Times, Mr Local movie review This Sivakarthikeyan and Nayanthara starrer is a harmless entertainer,regional,2019-05-17,17:10:00,https://www.hindustantimes.com/regional-movies/mr-local-movie-review-this-sivakarthikeyan-and-nayanthara-starrer-is-a-harmless-entertainer/story-gBs22inqeax2OdNL551S4M.html,6,0.23
Time of India, Late night outs and meeting friends after a hectic day is a refreshing way to end the day Yash Soni,regional,2019-05-31, 17:25:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/late-night-outs-and-meeting-friends-after-a-hectic-day-is-a-refreshing-way-to-end-the-day-yash-soni/articleshow/69598165.cms,7,0.24
Indian Express, Kick 2 Sajid Nadiadwala to return as director for Salman Khan film,regional,2019-06-10,18:14:04,https://indianexpress.com/article/entertainment/bollywood/kick-2-sajid-nadiadwala-to-return-as-director-5773647/,7,0.26
Hindiustan Times, Mohanlal ’ s Lucifer storms into Rs 200 crore club first for Malayalam cinema,regional,2019-06-04,20:46:00,https://www.hindustantimes.com/regional-movies/mohanlal-s-lucifer-storms-into-rs-200-crore-club-first-for-malayalam-cinema/story-vTm7JXaAdz0FWFTllE4n2I.html,7,0.25
Indian Express, LiveBharat box office collection Day 4 Salman Katrina starrer earns Rs 122 20 crore,regional,2019-06-09,18:00:28,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/bharat-day-4-salman-khan-5771184/,7,0.38
Hindiustan Times, I prefer quality over quantity Ravi Jadhav,regional,2019-05-21,16:38:00,https://www.hindustantimes.com/regional-movies/i-prefer-quality-over-quantity-ravi-jadhav/story-st4nm8tAXRHbwbwzUKLUVM.html,8,0.13
Time of India, Picture Ravi Kishan paid a visit to Siddhi Vinayak Temple with wife,regional,2019-06-07, 12:16:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/picture-ravi-kishan-paid-a-visit-to-siddhi-vinayak-temple-with-wife/articleshow/69687435.cms,8,0.14
Hindiustan Times, I have always wanted to direct Sai Deodhar on directorial debut,regional,2019-05-16,18:49:00,https://www.hindustantimes.com/regional-movies/i-have-always-wanted-to-direct-sai-deodhar-on-directorial-debut/story-0R8EhooBTWdPrPVhRHIoDL.html,8,0.12
Hindiustan Times, Suriya ’ s NGK gets Twitter emoji becomes the third Tamil film to do so,regional,2019-05-22,15:21:00,https://www.hindustantimes.com/regional-movies/suriya-s-ngk-gets-twitter-emoji-becomes-the-third-tamil-film-to-do-so/story-vyLXcm8mdySMjXVKSnr3aM.html,8,0.14
Hindiustan Times, Amitabh Bachchan ’ s Tamil debut Uyarntha Manithan shelved Suryah reveals the truth,regional,2019-05-16,17:53:00,https://www.hindustantimes.com/regional-movies/amitabh-bachchan-s-tamil-debut-uyarntha-manithan-shelved-suryah-reveals-the-truth/story-UzyRzxuGmJpHwXSrhCK9vO.html,8,0.11
India Today, Vidya Balan is blown away with Ajiths simplicity on Nerkonda Paarvai sets This is whyVidya Balan will be making her Tamil debut in Ajith starrer Nerkonda Paarvai The film is the Tamil remake of Hindi flick Pink,regional,2019-06-11,00:56:00,https://www.indiatoday.in/movies/regional-cinema/story/vidya-balan-is-blown-away-with-ajith-s-simplicity-on-nerkonda-paarvai-sets-this-is-why-1545793-2019-06-10,8,0.14
Hindiustan Times, Nidhhi Agerwal to make Tamil debut opposite Jayam Ravi,regional,2019-05-23,16:45:00,https://www.hindustantimes.com/regional-movies/nidhhi-agerwal-to-make-tamil-debut-opposite-jayam-ravi/story-LOyBVI7BWxKcyNN02wJLQL.html,8,0.14
Hindiustan Times, Ronit Roy to make Tamil debut with Jayam Ravi ’ s untitled film starring Niddhi Agerwal,regional,2019-05-27,16:46:00,https://www.hindustantimes.com/regional-movies/ronit-roy-to-make-tamil-debut-with-jayam-ravi-s-untitled-film-starring-niddhi-agerwal/story-fbpHetPhlBbTT78FOBHjRM.html,8,0.13
Time of India, Priya Varrier Suraj Kumar and Raghu Kovi to make their debut in Sandalwood,regional,2019-06-10, 17:04:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/priya-varrier-suraj-kumar-and-raghu-kovi-to-make-their-debut-in-sandalwood/articleshow/69725906.cms,8,0.2
Hindiustan Times, Saaho Ghibran replaces Shankar Ehsaan Loy as composer for Prabhas ’ film,regional,2019-05-29,15:25:00,https://www.hindustantimes.com/regional-movies/saaho-ghibran-replaces-shankar-ehsaan-loy-as-composer-for-prabhas-film/story-cwjxUxyKXcpdx9GlYQwu1K.html,9,0.1
Hindiustan Times, Ketika Sharma to star opposite Allu Arjun in Trivikram ’ s film,regional,2019-05-22,15:54:00,https://www.hindustantimes.com/regional-movies/ketika-sharma-to-star-opposite-allu-arjun-in-trivikram-s-film/story-xP5Rvb0sPGtJSD2xre4RZP.html,9,0.1
Time of India, National Award winner Sarika plays rape survivor in Belekars film,regional,2019-06-08, 19:24:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/national-award-winner-sarika-plays-rape-survivor-in-belekars-film/articleshow/69704974.cms,9,0.12
Hindiustan Times, Dhruv Vikram ’ s Adithya Varma wrapped up makers to release the film soon,regional,2019-05-16,17:03:00,https://www.hindustantimes.com/regional-movies/dhruv-vikram-s-adithya-varma-wrapped-up-makers-to-release-the-film-soon/story-47u1APcay5blHrC6kqP37O.html,9,0.1
Time of India, First poster of Vikram Phadnis ’ s film Smile Please out,regional,2019-06-10, 12:44:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/first-poster-of-vikram-phadniss-film-smile-please-out/articleshow/69722163.cms,9,0.1
Time of India, Paoli Arjun to skip Jamai Sasthi this year,regional,2019-06-08, 13:20:00,https://timesofindia.indiatimes.com/entertainment/bengali/movies/news/paoli-arjun-to-skip-jamai-sasthi-this-year/articleshow/69701291.cms,9,0.1
Indian Express, Vicky Kaushal to star in Karan Johar ’ s horror film Bhoot Part One The Haunted Ship,regional,2019-06-10,12:33:25,https://indianexpress.com/article/entertainment/bollywood/vicky-kaushal-bhoot-part-one-the-haunted-ship-horror-karan-johar-5772740/,9,0.1
Time of India, Vikee Shah is excited about his next film,regional,2019-06-08, 18:25:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/vikee-shah-is-excited-about-his-next-film/articleshow/69704292.cms,9,0.1
Time of India, Tania pens a beautiful message on her mom ’ s birthday says she is her first love,regional,2019-06-07, 13:35:00,https://timesofindia.indiatimes.com/entertainment/punjabi/movies/news/tania-pens-a-beautiful-message-on-her-moms-birthday-says-she-is-her-first-love/articleshow/69688532.cms,10,0.19
Time of India, Pakkhi Hegde ’ s birthday Bhojpuri celebs shower wishes on the actress on her special day,regional,2019-06-07, 14:23:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/pakkhi-hegdes-birthday-bhojpuri-celebs-shower-wishes-on-the-actress-on-her-special-day/articleshow/69688989.cms,10,0.19
Time of India, Sai Tamhankar The ‘ bold actress ’ tag was suffocating initially but I have moved beyond it,regional,2019-06-07, 10:42:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/sai-tamhankar-the-bold-actress-tag-was-suffocating-initially-but-i-have-moved-beyond-it/articleshow/69685994.cms,10,0.25
Time of India, Gashmeer Mahajani ’ s cutest birthday wish,regional,2019-06-09, 13:26:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/gashmeer-mahajanis-cutest-birthday-wish/articleshow/69711389.cms,10,0.18
Time of India, Gat Mat actress Rasika Sunil is a certified diver now,regional,2019-06-08, 10:00:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/rasika-sunil-is-a-certified-diver-now/articleshow/69691148.cms,10,0.19
Indian Express, Madhuri Dixit holidays with family in Rome see photos,regional,2019-06-10,15:23:26,https://indianexpress.com/article/entertainment/bollywood/madhuri-dixit-holidays-family-rome-see-photos-5771969/,11,0.19
Hindiustan Times, Venkatesh to star in Telugu remake of Ajay Devgn starrer De De Pyaar De,regional,2019-06-07,14:15:00,https://www.hindustantimes.com/regional-movies/venkatesh-to-star-in-telugu-remake-of-ajay-devgn-starrer-de-de-pyaar-de/story-5TuE94N5Gpx5peNQDKoeeL.html,11,0.17
Time of India, Bhojpuri star Nirahua mourns Twinkle Sharmas death demands death by hanging for the convicts,regional,2019-06-10, 14:05:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/bhojpuri-star-nirahua-mourns-twinkle-sharmas-death-demands-death-by-hanging-for-the-convicts/articleshow/69723337.cms,11,0.16
Time of India, Photo Sharad Kelkar and Keerti Gaekwad look lovely in this selfie,regional,2019-06-10, 14:32:00,https://timesofindia.indiatimes.comhttps://timesofindia.indiatimes.com/entertainment/marathi/photo-features/selfies-of-marathi-celebs-you-simply-cannot-miss/photostory/65608679.cms,11,0.18
Time of India, Photo Bhojpuri star Monalisa looks gorgeous in a black monokini,regional,2019-06-10, 13:17:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/photo-bhojpuri-star-monalisa-looks-gorgeous-in-a-black-monokini/articleshow/69722760.cms,11,0.23
Hindiustan Times, Sivakarthikeyan ’ s Mr Local will not feature any booze related song scenes depicting abuse of women,regional,2019-05-15,17:46:00,https://www.hindustantimes.com/regional-movies/sivakarthikeyan-s-mr-local-will-not-feature-any-booze-related-song-scenes-depicting-abuse-of-women/story-30HdvcwCoORei1lxNvDDAI.html,12,0.07
Hindiustan Times, Neenatai ’ s praise left me teary eyed Swapnil Joshi,regional,2019-06-06,19:19:00,https://www.hindustantimes.com/regional-movies/neenatai-s-praises-left-me-teary-eyed-swapnil-joshi/story-RCY2muWQaUbQBXNrUmwncN.html,12,0.06
Time of India, Bhushan and Mayuri ’ s fight of dimples,regional,2019-06-03, 13:52:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/bhushan-and-mayuris-fight-of-dimples/articleshow/69631575.cms,12,0.04
Hindiustan Times, Simbu plays a pilot in Hansika Motwani ’ s 50th film Maha See pics,regional,2019-05-29,16:18:00,https://www.hindustantimes.com/regional-movies/simbu-plays-a-pilot-in-hansika-s-50th-film-maha-see-pics/story-NgGeIXWZs2CDnbK0KhQxEO.html,12,0.07
Hindiustan Times, Simbu ’ s Maanaadu to finally roll from June 25 in Malaysia see pics,regional,2019-06-08,17:22:00,https://www.hindustantimes.com/regional-movies/simbu-s-maanaadu-to-finally-roll-from-june-25-in-malaysia-see-pics/story-jHd4LQQLpwDWKkhgJB0drK.html,12,0.06
Hindiustan Times, Anushka Shetty R Madhavan starrer Silence starts rolling see pics,regional,2019-05-28,15:34:00,https://www.hindustantimes.com/regional-movies/anushka-shetty-r-madhavan-starrer-silence-starts-rolling-see-pics/story-TfokMe4v17aKHy6Qb6FVsL.html,12,0.06
Indian Express, Sushmita Sen preps for her return It ’ s never done until we say it is done,regional,2019-06-09,15:52:06,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-preps-for-her-bollywood-return-5771772/,12,0.05
Hindiustan Times, Rashmika Mandanna to be Mahesh Babu ’ s co star in Sarileru Neekevvaru see launch pics,regional,2019-06-01,15:52:00,https://www.hindustantimes.com/regional-movies/rashmika-mandanna-to-be-mahesh-babu-s-co-star-in-sarileru-neekevvaru-see-launch-pics/story-A2l1C6sxv0raeI0PBb8OOL.html,12,0.06
Indian Express, Amitabh Bachchan ’ s Twitter account hacked,regional,2019-06-11,00:29:53,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchans-twitter-account-hacked-5774146/,12,0.07
Hindiustan Times, Anushka Shetty starts shooting for Chiranjeevi ’ s Sye Raa Narasimha Reddy,regional,2019-05-15,16:55:00,https://www.hindustantimes.com/regional-movies/anushka-shetty-starts-shooting-for-chiranjeevi-s-sye-raa-narasimha-reddy/story-RDM5S1vOfhQO811k5pKwuN.html,12,0.04
Time of India, Not trailer but the makers will release chapters of ‘ Ardaas Karaan ’ chapter 1 to release on June 20,regional,2019-06-10, 11:04:00,https://timesofindia.indiatimes.com/entertainment/punjabi/movies/news/not-trailer-but-the-makers-will-release-chapters-of-ardaas-karaan-chapter-1-to-release-on-june-20/articleshow/69720912.cms,12,0.04
Time of India, Ram Kamal Mukherjee ’ s ‘ Season ’ s Greetings ’ off to California,regional,2019-06-10, 14:22:00,https://timesofindia.indiatimes.com/entertainment/bengali/movies/news/ram-kamal-mukherjees-seasons-greetings-off-to-california/articleshow/69723528.cms,12,0.06
Hindiustan Times, Shadaa trailer Diljit Dosanjh finally gets to marry Kylie Jenner Akshay Kumar calls it mad fun Watch video,regional,2019-05-22,11:50:00,https://www.hindustantimes.com/regional-movies/shadaa-trailer-diljit-dosanjh-finally-gets-to-marry-kylie-jenner-akshay-kumar-calls-it-mad-fun-watch-video/story-mwsdyo1GlrcgI6vMmIkMuO.html,12,0.07
Hindiustan Times, Kamal Haasan to begin shooting for Indian 2 from June,regional,2019-05-21,15:23:00,https://www.hindustantimes.com/regional-movies/kamal-haasan-to-begin-shooting-for-indian-2-from-june/story-0LHQoJsy4srLurgbv0xNcL.html,12,0.07
Hindiustan Times, Vijay Deverakonda Malavika Mohanan starrer Hero launched See pics,regional,2019-05-20,21:07:00,https://www.hindustantimes.com/regional-movies/vijay-deverakonda-malavika-mohanan-starrer-hero-launched-see-pics/story-hhyn7Htaapq9yfQne5Np2I.html,12,0.06
Hindiustan Times, Vignesh Shivan meets his ‘ all time fav ’ Quentin Tarantino shares pic from Cannes,regional,2019-05-22,16:41:00,https://www.hindustantimes.com/regional-movies/vignesh-shivan-meets-his-all-time-fav-quentin-tarantino-shares-pic-from-cannes/story-wbwaxlHMyXElY8c0m3QKcN.html,12,0.15
Hindiustan Times, Dulquer Salmaan ’ s long delayed Kurup finally starts rolling,regional,2019-05-27,15:04:00,https://www.hindustantimes.com/regional-movies/dulquer-salmaan-s-long-delayed-kurup-finally-starts-rolling/story-BwnTdzLOqu3QxmaBV58VbO.html,12,0.05
Hindiustan Times, Simbu on marriage rumours ‘ No plans as of now ’,regional,2019-05-27,16:20:00,https://www.hindustantimes.com/regional-movies/simbu-on-marriage-rumours-no-plans-as-of-now/story-Rq2YosOW1w3kRyW3ubQZzO.html,12,0.06
Hindiustan Times, First look of Mammootty ’ s magnum opus Maamaanakam released See poster,regional,2019-06-08,16:55:00,https://www.hindustantimes.com/regional-movies/first-look-of-mammootty-s-magnum-opus-maamaanakam-released-see-poster/story-loLJaPPFVPewqbgsUaxbBL.html,13,0.1
Time of India, Girlfriend new teaser Director Upendra Sidhaye gives us a glimpse of the story set to unfold,regional,2019-06-10, 16:18:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/girlfriend-new-teaser-director-upendra-sidhaye-gives-us-a-glimpse-of-the-story-set-to-unfold/articleshow/69725196.cms,13,0.09
Time of India, Jinde Meriye Goldy Desi Crew shares a picture from the sets of his debut movie,regional,2019-06-06, 17:11:00,https://timesofindia.indiatimes.com/entertainment/punjabi/movies/news/jinde-meriye-goldy-desi-crew-shares-a-picture-from-the-sets-of-his-debut-movie/articleshow/69677023.cms,13,0.1
India Today, Siddharth in awe of Sai Dhanshikaas backflips Watch videoSai Dhanshikaa of Kabali fame has taken the internet by storm with a video clip of her backlips on the beach Actor Siddharth has been floored by the actresss skills,regional,2019-06-11,00:56:00,https://www.indiatoday.in/movies/regional-cinema/story/siddharth-in-awe-of-sai-dhanshikaa-s-backflips-watch-video-1545759-2019-06-10,13,0.08
